test,approach,answer,time
email-Enron,DP-WCC,140,4488.1240234375
email-Enron,DP-WCC,141,4488.31005859375
email-Enron,DP-WCC,142,4488.31591796875
email-Enron,DP-WCC,143,4488.321044921875
email-Enron,DP-WCC,144,4488.324951171875
email-Enron,DP-WCC,145,4488.3291015625
email-Enron,DP-WCC,146,4488.333251953125
email-Enron,DP-WCC,147,4488.338134765625
email-Enron,DP-WCC,148,4488.342041015625
email-Enron,DP-WCC,149,4488.345947265625
email-Enron,DP-WCC,150,4488.35009765625
email-Enron,DP-WCC,151,4488.354248046875
email-Enron,DP-WCC,152,4488.35791015625
email-Enron,DP-WCC,153,4488.362060546875
email-Enron,DP-WCC,154,4488.365966796875
email-Enron,DP-WCC,155,4488.3701171875
email-Enron,DP-WCC,156,4488.3740234375
email-Enron,DP-WCC,157,4488.376953125
email-Enron,DP-WCC,158,4488.381103515625
email-Enron,DP-WCC,159,4488.385009765625
email-Enron,DP-WCC,160,4488.388916015625
email-Enron,DP-WCC,161,4488.39306640625
email-Enron,DP-WCC,162,4488.397216796875
email-Enron,DP-WCC,163,4488.40087890625
email-Enron,DP-WCC,164,4488.405029296875
email-Enron,DP-WCC,165,4488.408935546875
email-Enron,DP-WCC,166,4488.4130859375
email-Enron,DP-WCC,167,4488.417236328125
email-Enron,DP-WCC,168,4488.4208984375
email-Enron,DP-WCC,169,4488.425048828125
email-Enron,DP-WCC,170,4488.42919921875
email-Enron,DP-WCC,171,4488.43310546875
email-Enron,DP-WCC,172,4488.43701171875
email-Enron,DP-WCC,173,4488.44091796875
email-Enron,DP-WCC,174,4488.445068359375
email-Enron,DP-WCC,175,4488.44921875
email-Enron,DP-WCC,176,4488.451904296875
email-Enron,DP-WCC,177,4488.4560546875
email-Enron,DP-WCC,178,4488.460205078125
email-Enron,DP-WCC,179,4488.4638671875
email-Enron,DP-WCC,180,4488.468017578125
email-Enron,DP-WCC,181,4488.47216796875
email-Enron,DP-WCC,182,4488.47607421875
email-Enron,DP-WCC,183,4488.47998046875
email-Enron,DP-WCC,184,4488.48388671875
email-Enron,DP-WCC,185,4488.487060546875
email-Enron,DP-WCC,186,4488.4912109375
email-Enron,DP-WCC,187,4488.494873046875
email-Enron,DP-WCC,188,4488.4990234375
email-Enron,DP-WCC,189,4488.503173828125
email-Enron,DP-WCC,190,4488.507080078125
email-Enron,DP-WCC,191,4488.510986328125
email-Enron,DP-WCC,192,4488.514892578125
email-Enron,DP-WCC,193,4488.51806640625
email-Enron,DP-WCC,194,4488.52197265625
email-Enron,DP-WCC,195,4488.52587890625
email-Enron,DP-WCC,196,4488.530029296875
email-Enron,DP-WCC,197,4488.5341796875
email-Enron,DP-WCC,198,4488.536865234375
email-Enron,DP-WCC,199,4488.541015625
email-Enron,DP-WCC,200,4488.545166015625
email-Enron,DP-WCC,201,4488.549072265625
email-Enron,DP-WCC,202,4488.552001953125
email-Enron,DP-WCC,203,4488.55615234375
email-Enron,DP-WCC,204,4488.56005859375
email-Enron,DP-WCC,205,4488.56396484375
email-Enron,DP-WCC,206,4488.56787109375
email-Enron,DP-WCC,207,4488.572021484375
email-Enron,DP-WCC,208,4488.5751953125
email-Enron,DP-WCC,209,4488.578857421875
email-Enron,DP-WCC,210,4488.5830078125
email-Enron,DP-WCC,211,4488.698974609375
email-Enron,DP-WCC,212,4488.712158203125
email-Enron,DP-WCC,213,4488.718017578125
email-Enron,DP-WCC,214,4488.72314453125
email-Enron,DP-WCC,215,4488.728271484375
email-Enron,DP-WCC,216,4488.73193359375
email-Enron,DP-WCC,217,4488.736083984375
email-Enron,DP-WCC,218,4488.739990234375
email-Enron,DP-WCC,219,4488.7451171875
email-Enron,DP-WCC,220,4488.749267578125
email-Enron,DP-WCC,221,4488.7529296875
email-Enron,DP-WCC,222,4488.757080078125
email-Enron,DP-WCC,223,4488.760986328125
email-Enron,DP-WCC,224,4488.76513671875
email-Enron,DP-WCC,225,4488.76904296875
email-Enron,DP-WCC,226,4488.77294921875
email-Enron,DP-WCC,227,4488.777099609375
email-Enron,DP-WCC,228,4488.78125
email-Enron,DP-WCC,229,4488.783935546875
email-Enron,DP-WCC,230,4488.7880859375
email-Enron,DP-WCC,231,4488.792236328125
email-Enron,DP-WCC,232,4488.7958984375
email-Enron,DP-WCC,233,4488.800048828125
email-Enron,DP-WCC,234,4488.803955078125
email-Enron,DP-WCC,235,4488.80810546875
email-Enron,DP-WCC,236,4488.81201171875
email-Enron,DP-WCC,237,4488.92919921875
email-Enron,DP-WCC,238,4488.93701171875
email-Enron,DP-WCC,239,4488.941162109375
email-Enron,DP-WCC,240,4488.945068359375
email-Enron,DP-WCC,241,4488.948974609375
email-Enron,DP-WCC,242,4488.952880859375
email-Enron,DP-WCC,243,4488.95703125
email-Enron,DP-WCC,244,4488.961181640625
email-Enron,DP-WCC,245,4488.96484375
email-Enron,DP-WCC,246,4488.968017578125
email-Enron,DP-WCC,247,4488.97216796875
email-Enron,DP-WCC,248,4488.97607421875
email-Enron,DP-WCC,249,4488.97998046875
email-Enron,DP-WCC,250,4488.983154296875
email-Enron,DP-WCC,251,4488.987060546875
email-Enron,DP-WCC,252,4488.990966796875
email-Enron,DP-WCC,253,4488.994873046875
email-Enron,DP-WCC,254,4488.9990234375
email-Enron,DP-WCC,255,4489.002197265625
email-Enron,DP-WCC,256,4489.005859375
email-Enron,DP-WCC,257,4489.010009765625
email-Enron,DP-WCC,258,4489.01416015625
email-Enron,DP-WCC,259,4489.01806640625
email-Enron,DP-WCC,260,4489.02099609375
email-Enron,DP-WCC,261,4489.025146484375
email-Enron,DP-WCC,262,4489.029052734375
email-Enron,DP-WCC,263,4489.032958984375
email-Enron,DP-WCC,264,4489.037109375
email-Enron,DP-WCC,265,4489.0400390625
email-Enron,DP-WCC,266,4489.044189453125
email-Enron,DP-WCC,267,4489.048095703125
email-Enron,DP-WCC,268,4489.051025390625
email-Enron,DP-WCC,269,4489.05517578125
email-Enron,DP-WCC,270,4489.058837890625
email-Enron,DP-WCC,271,4489.06298828125
email-Enron,DP-WCC,272,4489.066162109375
email-Enron,DP-WCC,273,4489.06982421875
email-Enron,DP-WCC,274,4489.073974609375
email-Enron,DP-WCC,275,4489.078125
email-Enron,DP-WCC,276,4489.0810546875
email-Enron,DP-WCC,277,4489.0849609375
email-Enron,DP-WCC,278,4489.088134765625
email-Enron,DP-WCC,279,4489.092041015625
email-Enron,DP-WCC,280,4489.095947265625
email-Enron,DP-WCC,281,4489.10009765625
email-Enron,DP-WCC,282,4489.2451171875
email-Enron,DP-WCC,283,4489.258056640625
email-Enron,DP-WCC,284,4489.281005859375
email-Enron,DP-WCC,285,4489.285888671875
email-Enron,DP-WCC,286,4489.291015625
email-Enron,DP-WCC,287,4489.294921875
email-Enron,DP-WCC,288,4489.299072265625
email-Enron,DP-WCC,289,4489.30322265625
email-Enron,DP-WCC,290,4489.306884765625
email-Enron,DP-WCC,291,4489.31103515625
email-Enron,DP-WCC,292,4489.31591796875
email-Enron,DP-WCC,293,4489.319091796875
email-Enron,DP-WCC,294,4489.322998046875
email-Enron,DP-WCC,295,4489.326904296875
email-Enron,DP-WCC,296,4489.3310546875
email-Enron,DP-WCC,297,4489.335205078125
email-Enron,DP-WCC,298,4489.3388671875
email-Enron,DP-WCC,299,4489.343017578125
email-Enron,DP-WCC,300,4489.346923828125
email-Enron,DP-WCC,301,4489.35107421875
email-Enron,DP-WCC,302,4489.355224609375
email-Enron,DP-WCC,303,4489.35888671875
email-Enron,DP-WCC,304,4489.362060546875
email-Enron,DP-WCC,305,4489.3662109375
email-Enron,DP-WCC,306,4489.369873046875
email-Enron,DP-WCC,307,4489.3740234375
email-Enron,DP-WCC,308,4489.378173828125
email-Enron,DP-WCC,309,4489.382080078125
email-Enron,DP-WCC,310,4489.385986328125
email-Enron,DP-WCC,311,4489.389892578125
email-Enron,DP-WCC,312,4489.39404296875
email-Enron,DP-WCC,313,4489.39697265625
email-Enron,DP-WCC,314,4489.40087890625
email-Enron,DP-WCC,315,4489.405029296875
email-Enron,DP-WCC,316,4489.4091796875
email-Enron,DP-WCC,317,4489.4130859375
email-Enron,DP-WCC,318,4489.416015625
email-Enron,DP-WCC,319,4489.420166015625
email-Enron,DP-WCC,320,4489.424072265625
